2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connecting to RabbitMQ 10.230.2.117:5672
2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Start listening for new input messages
2018-12-30 14:28:55 - apollo_python_common.mq.abstract_mq_consumer - INFO - Start listening for new input messages
2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Start consuming messages on queue a4ccbb2a8db9404a9da42f11947180dc
2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connecting to RabbitMQ 10.230.2.117:5672
2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Start consuming messages on queue 5562ca682f944167b6cf7c7b2c137a5e
2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connecting to RabbitMQ 10.230.2.117:5672
2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connection successful
2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connection successful
2018-12-30 14:28:55 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connection successful
2018-12-30 14:28:56 - apollo_python_common.ml_pipeline.message_queue_providers - INFO - Connecting to RabbitMQ 10.230.2.117:5672
2018-12-30 14:29:59 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.187), ('predict', 0.0133), ('postprocess', 0.0007)]
2018-12-30 14:29:59 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1357), ('predict', 0.0131), ('postprocess', 0.0005)]
2018-12-30 14:29:59 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1011), ('predict', 0.0133), ('postprocess', 0.0007)]
2018-12-30 14:29:59 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1075), ('predict', 0.0135), ('postprocess', 0.0007)]
2018-12-30 14:30:00 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1479), ('predict', 0.0153), ('postprocess', 0.0006)]
2018-12-30 14:30:00 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1767), ('predict', 0.0137), ('postprocess', 0.0006)]
2018-12-30 14:30:00 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1685), ('predict', 0.013), ('postprocess', 0.0012)]
2018-12-30 14:30:00 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1363), ('predict', 0.0129), ('postprocess', 0.0007)]
2018-12-30 14:30:00 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1406), ('predict', 0.0124), ('postprocess', 0.0006)]
2018-12-30 14:30:00 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1569), ('predict', 0.0124), ('postprocess', 0.0006)]
2018-12-30 14:30:01 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1544), ('predict', 0.0127), ('postprocess', 0.0006)]
2018-12-30 14:30:01 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1324), ('predict', 0.0126), ('postprocess', 0.0006)]
2018-12-30 14:30:01 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1606), ('predict', 0.0183), ('postprocess', 0.0007)]
2018-12-30 14:30:01 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1083), ('predict', 0.0131), ('postprocess', 0.0006)]
2018-12-30 14:30:01 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.0988), ('predict', 0.0136), ('postprocess', 0.0006)]
2018-12-30 14:30:01 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.0973), ('predict', 0.0132), ('postprocess', 0.0006)]
2018-12-30 14:30:01 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1447), ('predict', 0.0135), ('postprocess', 0.0006)]
2018-12-30 14:30:01 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.0977), ('predict', 0.0133), ('postprocess', 0.0006)]
2018-12-30 14:30:02 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1211), ('predict', 0.0137), ('postprocess', 0.0006)]
2018-12-30 14:30:02 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.0939), ('predict', 0.0127), ('postprocess', 0.0005)]
2018-12-30 14:30:02 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1046), ('predict', 0.0142), ('postprocess', 0.0006)]
2018-12-30 14:30:02 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1006), ('predict', 0.0125), ('postprocess', 0.0006)]
2018-12-30 14:30:02 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.2102), ('predict', 0.0155), ('postprocess', 0.0005)]
2018-12-30 14:30:02 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1079), ('predict', 0.0125), ('postprocess', 0.0006)]
2018-12-30 14:30:02 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.2034), ('predict', 0.0256), ('postprocess', 0.0007)]
2018-12-30 14:30:03 - apollo_python_common.ml_pipeline.multi_threaded_predictor - INFO - Processing time in sec [('preprocess', 0.1365), ('predict', 0.039), ('postprocess', 0.001)]
